type,latency_ms,key,version,stale
read,4.52,key_16,103,false
read,4.32,key_13,76,false
read,4.78,key_8,85,false
read,5.83,key_1,87,false
read,5.81,key_2,93,false
read,7.30,key_19,93,false
read,7.52,key_0,83,false
read,1.79,key_6,93,false
read,4.03,key_13,76,false
read,2.90,key_16,103,false
read,0.82,key_1,87,false
read,2.77,key_0,83,false
read,0.56,key_8,85,false
write,325.46,key_2,94,false
write,314.81,key_8,86,false
write,316.31,key_7,90,false
write,321.77,key_15,106,false
write,326.32,key_2,95,false
write,321.94,key_3,76,false
write,319.01,key_19,94,false
write,317.81,key_19,95,false
write,319.18,key_9,74,false
write,326.75,key_4,97,false
read,1.42,key_17,88,false
read,1.33,key_1,87,false
read,1.77,key_7,90,false
read,3.10,key_14,123,false
read,0.80,key_2,94,true
write,315.46,key_19,96,false
write,321.19,key_7,91,false
write,321.18,key_8,88,false
write,321.23,key_9,75,false
write,321.58,key_6,94,false
write,322.01,key_0,84,false
write,320.45,key_2,96,false
write,323.27,key_14,123,false
write,323.13,key_8,87,false
write,321.81,key_4,98,false
read,1.66,key_10,90,false
read,2.73,key_17,88,false
read,2.98,key_11,102,false
read,1.91,key_10,90,false
read,0.76,key_16,103,false
read,1.00,key_1,87,false
read,1.23,key_17,88,false
read,3.93,key_1,88,false
write,308.05,key_6,95,false
write,314.86,key_14,124,false
write,313.37,key_9,76,false
write,313.86,key_10,91,false
write,316.41,key_1,88,false
write,315.28,key_15,107,false
write,315.81,key_0,85,false
write,316.62,key_7,92,false
write,316.50,key_4,99,false
write,311.67,key_12,91,false
read,1.98,key_18,112,false
read,1.64,key_4,99,false
read,1.95,key_5,93,false
read,1.85,key_2,96,false
read,0.74,key_0,85,false
read,1.07,key_9,76,false
read,0.53,key_8,87,true
read,2.02,key_6,96,false
write,314.60,key_6,96,false
write,313.79,key_16,104,false
write,316.32,key_17,89,false
write,316.41,key_19,97,false
write,311.13,key_11,103,false
write,316.86,key_4,100,false
write,314.80,key_19,98,false
write,316.65,key_10,92,false
write,316.85,key_13,77,false
write,317.10,key_5,94,false
read,2.58,key_4,100,false
read,2.73,key_13,77,false
read,2.37,key_17,89,false
read,2.79,key_14,124,false
read,2.93,key_13,77,false
read,2.75,key_1,88,false
read,0.99,key_15,107,false
read,1.14,key_9,76,false
read,4.32,key_13,77,false
read,0.78,key_10,92,false
read,1.88,key_5,94,false
