type,latency_ms,key,version,stale
write,319.19,key_15,64,false
write,319.27,key_12,74,false
write,319.30,key_16,61,false
write,319.28,key_12,75,false
write,319.42,key_5,58,false
write,319.27,key_11,64,false
write,319.36,key_9,44,false
write,319.42,key_16,62,false
write,319.42,key_12,73,false
write,319.54,key_11,65,false
write,342.30,key_9,46,false
write,342.42,key_11,66,false
write,342.51,key_6,61,false
write,342.59,key_15,65,false
write,342.66,key_1,64,false
write,342.80,key_12,76,false
write,342.74,key_12,77,false
write,342.77,key_9,45,false
write,342.76,key_19,66,false
write,342.97,key_18,59,false
write,314.05,key_1,65,false
write,314.08,key_4,59,false
write,314.10,key_4,58,false
write,314.17,key_3,66,false
write,314.44,key_18,60,false
write,314.50,key_7,64,false
write,314.41,key_6,62,false
write,314.51,key_11,67,false
write,314.40,key_2,66,false
write,314.49,key_11,68,false
read,57.83,key_10,71,false
read,54.99,key_1,65,false
write,318.00,key_4,60,false
write,318.02,key_17,61,false
write,318.42,key_18,61,false
write,320.87,key_14,75,false
write,320.91,key_3,67,false
write,320.64,key_12,79,false
write,320.77,key_15,66,false
write,321.03,key_12,78,false
write,320.90,key_7,65,false
write,312.49,key_10,72,false
write,316.95,key_19,67,false
write,319.72,key_0,65,false
write,316.96,key_5,60,false
write,317.21,key_11,69,false
write,319.81,key_10,73,false
write,317.57,key_9,47,false
write,317.46,key_5,59,false
write,320.02,key_18,62,false
write,317.85,key_6,63,false
write,318.36,key_19,68,false
write,317.43,key_5,63,false
write,317.78,key_5,61,false
write,317.85,key_11,70,false
write,317.96,key_5,62,false
write,318.20,key_17,62,false
write,318.21,key_4,61,false
write,318.40,key_7,66,false
write,318.22,key_13,63,false
write,318.34,key_15,67,false
write,322.82,key_2,67,false
write,324.87,key_7,67,false
write,324.93,key_19,69,false
write,324.57,key_19,70,false
write,324.89,key_3,68,false
write,324.99,key_15,68,false
write,325.19,key_15,69,false
write,325.29,key_15,71,false
write,325.28,key_8,62,false
write,325.29,key_15,70,false
read,54.98,key_19,70,false
write,317.52,key_17,63,false
write,316.55,key_14,76,false
write,316.79,key_7,68,false
write,316.66,key_12,80,false
write,316.71,key_0,66,false
write,316.73,key_13,64,false
write,316.80,key_19,71,false
write,316.93,key_4,62,false
write,316.93,key_11,71,false
write,315.63,key_15,72,false
write,312.55,key_6,64,false
write,312.87,key_2,69,false
write,313.24,key_0,67,false
write,313.25,key_3,71,false
write,313.01,key_13,65,false
