type,latency_ms,key,version,stale
read,62.19,key_6,24,false
read,62.27,key_15,16,false
read,62.11,key_13,21,false
read,62.21,key_12,26,false
read,64.51,key_7,15,false
read,57.75,key_3,16,false
read,57.76,key_4,29,false
read,58.13,key_11,24,false
read,58.17,key_15,16,false
read,53.40,key_0,21,false
read,52.78,key_18,26,false
write,323.07,key_7,16,false
write,323.19,key_13,21,false
write,323.18,key_12,26,false
write,323.22,key_14,26,false
write,323.32,key_5,15,false
read,53.97,key_9,13,false
write,312.57,key_4,30,false
write,314.93,key_5,16,false
write,315.03,key_7,17,false
read,59.03,key_2,31,false
read,59.15,key_19,21,false
read,59.13,key_19,21,false
read,54.52,key_18,26,false
write,312.90,key_15,17,false
read,55.23,key_7,17,false
read,54.36,key_16,24,false
write,310.90,key_3,17,false
read,51.83,key_2,31,false
write,319.92,key_13,22,false
write,319.84,key_8,19,false
write,319.74,key_3,18,false
write,319.60,key_0,22,false
read,59.72,key_5,16,false
write,325.72,key_16,25,false
read,59.98,key_14,27,false
write,311.50,key_1,23,false
read,53.24,key_19,21,false
read,53.40,key_19,21,false
read,53.54,key_4,30,false
write,315.34,key_10,22,false
write,314.90,key_16,26,false
read,53.88,key_12,26,false
read,56.70,key_3,18,false
read,54.05,key_5,16,false
write,306.79,key_1,24,false
write,307.46,key_17,17,false
write,311.25,key_14,27,false
write,311.25,key_16,27,false
read,53.52,key_10,22,false
read,51.77,key_6,24,false
read,52.03,key_14,28,false
read,53.61,key_7,17,false
read,54.64,key_15,17,false
write,308.62,key_14,28,false
read,52.81,key_18,26,false
write,305.17,key_12,27,false
read,52.13,key_4,30,false
write,307.02,key_12,28,false
write,307.60,key_12,29,false
read,54.08,key_13,22,false
read,52.75,key_2,31,false
read,52.70,key_13,22,false
read,54.23,key_6,26,false
write,307.03,key_19,22,false
write,308.40,key_8,20,false
write,310.82,key_6,25,false
read,55.14,key_9,13,false
write,312.57,key_6,26,false
write,307.14,key_17,18,false
write,307.99,key_11,25,false
read,53.57,key_8,20,false
read,58.48,key_14,28,false
write,310.60,key_0,23,false
write,311.43,key_2,32,false
write,309.44,key_3,19,false
write,306.73,key_12,30,false
write,306.85,key_7,18,false
read,53.15,key_5,16,false
read,54.49,key_10,22,false
write,307.27,key_18,27,false
read,54.55,key_3,19,false
read,53.51,key_3,19,false
read,54.83,key_19,22,false
write,308.69,key_6,27,false
write,314.02,key_4,31,false
write,309.41,key_11,26,false
write,312.91,key_14,29,false
read,54.38,key_17,18,false
write,313.25,key_11,27,false
write,310.66,key_14,30,false
write,310.65,key_16,28,false
write,313.46,key_15,18,false
write,311.19,key_13,23,false
write,311.24,key_17,19,false
read,52.73,key_8,20,false
write,309.00,key_13,24,false
read,57.20,key_14,30,false
write,316.13,key_19,23,false
write,316.12,key_12,31,false
read,53.76,key_16,28,false
read,57.99,key_14,30,false
write,313.88,key_11,28,false
write,313.02,key_19,24,false
write,313.02,key_13,25,false
write,313.19,key_14,31,false
write,312.90,key_2,33,false
read,52.56,key_0,23,false
write,311.38,key_17,20,false
read,52.51,key_12,32,false
read,55.84,key_11,28,false
