type,latency_ms,key,version,stale
write,333.65,key_10,136,false
write,333.82,key_19,143,false
write,333.84,key_9,122,false
write,333.68,key_16,150,false
write,333.73,key_14,174,false
write,333.86,key_11,157,false
write,333.73,key_18,155,false
write,334.06,key_6,144,false
write,334.06,key_6,143,false
write,334.08,key_1,135,false
read,4.05,key_0,128,false
read,4.74,key_0,128,false
write,316.70,key_3,128,false
write,316.80,key_10,137,false
write,316.75,key_12,141,false
write,311.87,key_0,129,false
write,316.57,key_7,134,false
write,312.66,key_11,158,false
write,316.89,key_9,123,false
write,316.93,key_15,152,false
write,317.05,key_17,135,false
write,316.50,key_12,142,false
read,3.77,key_16,150,false
read,4.62,key_17,135,false
read,0.48,key_9,123,false
write,318.87,key_1,136,false
write,319.51,key_5,128,false
write,314.52,key_9,124,false
write,319.63,key_17,137,false
write,319.42,key_7,136,false
write,319.51,key_2,144,false
write,319.51,key_17,136,false
write,319.76,key_0,130,false
write,319.81,key_7,135,false
write,316.13,key_15,153,false
read,3.01,key_19,143,false
read,2.35,key_19,143,false
read,1.16,key_7,136,false
write,319.18,key_3,129,false
write,315.70,key_15,154,false
write,319.06,key_2,146,false
write,319.33,key_5,130,false
write,319.22,key_5,129,false
write,319.39,key_2,145,false
write,319.44,key_12,143,false
write,317.27,key_3,130,false
write,319.50,key_7,137,false
write,319.75,key_12,144,false
read,4.40,key_14,174,false
read,4.28,key_5,130,false
read,4.62,key_9,124,false
read,4.80,key_0,130,false
read,0.71,key_19,143,false
write,317.23,key_15,155,false
write,317.38,key_13,129,false
write,317.20,key_5,131,false
write,312.08,key_11,159,false
write,313.04,key_19,145,false
write,313.40,key_4,145,false
write,318.00,key_17,138,false
write,317.84,key_1,137,false
write,317.99,key_19,144,false
write,313.69,key_2,147,false
write,320.39,key_13,130,false
write,319.90,key_18,156,false
write,320.04,key_13,131,false
write,319.86,key_16,151,false
write,319.82,key_7,138,false
write,320.80,key_2,148,false
write,320.84,key_6,145,false
write,320.20,key_9,125,false
write,320.31,key_8,138,false
write,320.01,key_3,131,false
read,3.15,key_1,137,false
write,315.95,key_9,126,false
write,316.22,key_14,175,false
write,313.15,key_1,138,false
write,316.41,key_5,132,false
write,316.39,key_3,132,false
write,316.65,key_6,146,false
write,316.52,key_15,156,false
write,316.42,key_11,160,false
write,316.87,key_12,145,false
write,316.77,key_2,149,false
read,2.11,key_5,132,false
write,319.79,key_17,139,false
write,319.68,key_3,133,false
write,319.72,key_13,132,false
write,319.85,key_11,161,false
write,319.46,key_10,138,false
write,320.10,key_8,139,false
write,317.61,key_4,146,false
write,319.71,key_9,127,false
write,320.26,key_11,162,false
write,320.02,key_12,146,false
write,314.43,key_10,139,false
write,314.69,key_14,176,false
write,314.84,key_0,131,false
write,314.70,key_3,134,false
write,314.61,key_16,152,false
write,314.83,key_4,147,false
write,314.74,key_14,177,false
write,314.85,key_8,140,false
write,314.84,key_10,140,false
write,314.88,key_9,128,false
read,2.39,key_13,132,false
write,318.44,key_1,139,false
write,318.52,key_13,133,false
write,318.42,key_1,141,false
write,318.68,key_0,132,false
write,318.55,key_7,139,false
write,318.45,key_1,140,false
write,318.85,key_17,140,false
write,318.47,key_10,141,false
write,316.01,key_3,135,false
write,318.60,key_13,134,false
write,317.51,key_10,142,false
write,317.43,key_0,133,false
write,317.44,key_4,148,false
write,317.66,key_6,147,false
write,317.45,key_9,129,false
write,317.46,key_5,133,false
write,317.27,key_10,143,false
write,317.64,key_2,150,false
write,317.65,key_19,146,false
write,317.77,key_2,151,false
read,4.13,key_18,156,false
write,319.90,key_0,134,false
write,319.78,key_17,142,false
write,319.73,key_10,144,false
write,319.71,key_12,147,false
write,319.90,key_4,151,false
write,319.76,key_4,150,false
write,320.20,key_4,149,false
write,319.89,key_17,141,false
write,315.75,key_8,141,false
write,319.88,key_9,130,false
read,2.27,key_6,147,false
write,320.32,key_1,142,false
write,320.48,key_19,147,false
write,320.20,key_6,148,false
write,320.50,key_7,140,false
write,320.52,key_18,157,false
write,320.71,key_16,153,false
write,317.99,key_4,152,false
write,320.77,key_9,131,false
write,320.35,key_8,142,false
write,321.47,key_3,136,false
read,4.00,key_11,161,true
write,315.38,key_3,137,false
write,315.68,key_9,132,false
write,315.63,key_6,149,false
write,315.64,key_14,178,false
write,314.75,key_13,135,false
write,315.74,key_4,153,false
write,315.84,key_0,135,false
write,315.80,key_0,136,false
write,316.01,key_14,179,false
write,312.13,key_3,138,false
write,319.37,key_17,143,false
write,319.03,key_8,143,false
write,319.25,key_14,181,false
write,319.37,key_19,148,false
write,319.58,key_5,134,false
write,319.28,key_15,157,false
write,319.20,key_14,180,false
write,319.20,key_11,163,false
write,319.30,key_1,143,false
write,319.17,key_6,150,false
read,2.68,key_18,157,false
write,312.06,key_2,152,false
write,315.11,key_4,154,false
write,315.04,key_3,139,false
write,315.21,key_14,183,false
write,315.17,key_15,158,false
write,315.16,key_14,182,false
write,315.26,key_16,155,false
write,315.17,key_16,154,false
write,315.42,key_8,144,false
write,315.56,key_0,137,false
read,0.80,key_4,154,false
write,314.44,key_7,141,false
write,314.60,key_7,142,false
write,314.74,key_5,135,false
write,314.63,key_14,184,false
write,314.51,key_17,144,false
write,314.32,key_7,143,false
write,314.88,key_10,145,false
write,313.72,key_7,144,false
write,314.99,key_9,133,false
write,314.16,key_3,140,false
read,3.03,key_0,137,false
write,317.58,key_11,164,false
write,317.60,key_13,136,false
write,317.92,key_3,141,false
write,317.82,key_17,145,false
write,317.84,key_15,159,false
write,317.69,key_12,148,false
write,314.95,key_18,159,false
write,317.98,key_18,158,false
write,317.97,key_19,149,false
write,318.06,key_16,156,false
read,2.65,key_8,144,false
read,2.37,key_12,148,false
write,324.79,key_10,146,false
write,324.97,key_4,155,false
write,322.55,key_19,150,false
write,324.98,key_19,152,false
write,322.70,key_8,145,false
write,325.35,key_19,151,false
write,325.61,key_6,151,false
write,325.54,key_18,161,false
write,325.66,key_15,160,false
write,325.61,key_18,160,false
read,2.16,key_0,137,false
write,316.78,key_13,138,false
write,316.53,key_6,152,false
write,316.39,key_14,185,false
write,316.94,key_17,146,false
write,316.55,key_7,145,false
write,317.03,key_16,157,false
write,316.65,key_1,144,false
write,316.59,key_17,147,false
write,317.36,key_13,137,false
write,315.16,key_4,156,false
write,315.60,key_8,146,false
write,315.48,key_6,154,false
write,315.81,key_15,161,false
write,315.68,key_18,162,false
write,315.76,key_6,153,false
write,315.57,key_11,165,false
write,315.95,key_17,148,false
write,315.59,key_16,158,false
write,316.22,key_5,136,false
write,316.35,key_9,134,false
read,2.96,key_14,185,false
write,324.68,key_17,149,false
write,324.67,key_0,138,false
write,324.75,key_0,139,false
write,325.45,key_7,146,false
write,322.20,key_1,145,false
write,325.55,key_6,155,false
write,325.46,key_7,147,false
write,325.54,key_9,135,false
write,325.09,key_16,159,false
write,325.90,key_3,142,false
read,1.84,key_4,156,false
write,360.91,key_16,160,false
write,361.93,key_14,186,false
write,361.41,key_14,187,false
write,361.59,key_7,148,false
write,361.17,key_9,136,false
write,359.81,key_19,153,false
write,361.85,key_11,166,false
write,363.12,key_12,149,false
write,363.09,key_1,146,false
write,363.04,key_4,157,false
read,5.87,key_13,138,false
write,325.43,key_11,167,false
write,318.05,key_8,149,false
write,324.27,key_7,149,false
write,323.61,key_8,148,false
write,324.44,key_15,163,false
write,322.62,key_15,162,false
write,322.95,key_17,150,false
write,324.00,key_8,147,false
write,324.47,key_18,163,false
write,324.67,key_19,154,false
read,1.48,key_19,154,false
write,324.16,key_2,154,false
write,322.86,key_7,150,false
write,324.45,key_11,168,false
write,324.15,key_0,140,false
write,324.40,key_7,151,false
write,324.58,key_16,161,false
write,324.44,key_11,169,false
write,324.41,key_2,153,false
write,324.58,key_19,155,false
write,324.43,key_10,147,false
read,2.36,key_12,149,false
write,317.63,key_1,147,false
write,317.52,key_1,148,false
write,317.66,key_18,164,false
write,317.59,key_14,188,false
write,317.57,key_17,151,false
write,315.25,key_16,162,false
write,317.68,key_13,139,false
write,317.70,key_4,158,false
write,317.88,key_11,170,false
write,317.84,key_9,137,false
read,3.76,key_0,140,false
write,315.70,key_9,138,false
write,315.58,key_9,139,false
write,311.99,key_5,138,false
write,315.69,key_14,190,false
write,315.75,key_19,156,false
write,315.80,key_5,137,false
write,315.74,key_19,157,false
write,315.83,key_7,153,false
write,315.77,key_14,189,false
write,315.76,key_7,152,false
write,317.07,key_9,141,false
write,317.15,key_13,140,false
write,317.07,key_16,164,false
write,317.15,key_10,148,false
write,317.28,key_15,165,false
write,317.11,key_16,163,false
write,317.37,key_15,164,false
write,317.32,key_9,140,false
write,317.29,key_8,150,false
write,317.22,key_5,139,false
read,2.44,key_12,149,false
write,317.94,key_19,158,false
write,318.34,key_18,165,false
write,318.38,key_2,155,false
write,318.01,key_4,159,false
write,318.24,key_0,141,false
write,318.26,key_11,171,false
write,318.45,key_5,140,false
write,318.28,key_16,165,false
write,317.92,key_4,160,false
write,316.15,key_9,142,false
read,2.19,key_6,155,false
read,1.28,key_7,152,true
write,319.05,key_15,166,false
write,319.32,key_18,166,false
write,319.29,key_13,141,false
write,319.56,key_12,150,false
write,319.65,key_16,166,false
write,319.69,key_0,142,false
write,319.47,key_8,151,false
write,316.24,key_5,141,false
write,319.49,key_18,167,false
write,319.80,key_14,191,false
write,317.42,key_3,143,false
write,317.33,key_18,169,false
write,317.30,key_18,170,false
write,317.64,key_4,161,false
write,317.56,key_12,151,false
write,317.53,key_6,156,false
write,317.60,key_16,167,false
write,317.63,key_9,143,false
write,317.88,key_11,172,false
write,317.59,key_18,168,false
read,3.13,key_7,153,false
write,318.43,key_0,143,false
write,321.72,key_14,192,false
write,321.51,key_13,142,false
write,321.55,key_6,157,false
write,321.79,key_7,154,false
write,321.77,key_10,149,false
write,321.68,key_19,159,false
write,321.99,key_8,152,false
write,322.00,key_11,173,false
write,322.19,key_17,152,false
read,3.19,key_15,167,false
write,321.17,key_0,144,false
write,317.91,key_18,171,false
write,321.06,key_14,193,false
write,320.91,key_5,142,false
write,321.04,key_12,152,false
write,321.36,key_19,160,false
write,321.18,key_15,167,false
write,321.29,key_12,154,false
write,321.14,key_12,153,false
write,321.53,key_9,144,false
read,3.48,key_15,167,false
read,3.31,key_8,152,false
write,320.55,key_4,162,false
write,320.50,key_14,194,false
write,317.00,key_19,161,false
write,320.39,key_3,144,false
write,320.80,key_17,153,false
write,320.76,key_17,154,false
write,320.74,key_1,149,false
write,317.36,key_14,195,false
write,321.04,key_16,168,false
write,321.10,key_4,163,false
write,318.08,key_16,169,false
write,317.92,key_12,155,false
write,317.88,key_18,172,false
write,318.08,key_0,145,false
write,318.50,key_10,150,false
write,318.02,key_4,164,false
write,318.16,key_17,155,false
write,318.55,key_0,146,false
write,318.52,key_15,168,false
write,318.71,key_16,170,false
write,322.22,key_12,157,false
write,322.13,key_10,151,false
write,322.26,key_1,150,false
write,322.10,key_13,143,false
write,322.42,key_6,158,false
write,322.30,key_12,156,false
write,322.34,key_7,155,false
write,322.38,key_5,143,false
write,322.24,key_0,147,false
write,322.10,key_12,158,false
read,2.85,key_5,143,false
write,325.12,key_12,159,false
write,325.01,key_8,153,false
write,325.40,key_2,156,false
write,325.27,key_14,196,false
write,325.11,key_0,149,false
write,325.33,key_15,169,false
write,325.47,key_0,148,false
write,325.29,key_7,156,false
write,325.12,key_13,144,false
write,322.66,key_3,145,false
read,2.22,key_11,173,false
write,316.60,key_15,170,false
write,314.30,key_13,146,false
write,316.61,key_16,171,false
write,316.63,key_13,145,false
write,316.66,key_8,155,false
write,316.83,key_6,159,false
write,316.97,key_9,145,false
write,316.73,key_5,145,false
write,317.03,key_8,154,false
write,317.02,key_5,144,false
write,320.67,key_10,153,false
write,321.20,key_1,151,false
write,321.01,key_7,158,false
write,321.66,key_2,157,false
write,321.63,key_8,157,false
write,321.62,key_10,152,false
write,321.48,key_8,156,false
write,322.24,key_9,146,false
write,322.44,key_15,171,false
write,322.34,key_7,157,false
read,2.71,key_1,151,false
write,318.64,key_19,162,false
write,319.30,key_3,146,false
write,318.81,key_12,160,false
write,318.84,key_8,158,false
write,318.25,key_4,165,false
write,319.15,key_11,174,false
write,316.22,key_3,147,false
write,318.29,key_14,197,false
write,318.29,key_16,172,false
write,318.64,key_7,159,false
read,2.56,key_18,172,false
write,320.13,key_16,173,false
write,320.16,key_5,147,false
write,320.22,key_6,160,false
write,320.35,key_18,173,false
write,320.19,key_2,158,false
write,320.57,key_19,163,false
write,320.45,key_9,147,false
write,317.81,key_18,174,false
write,320.39,key_5,146,false
write,320.53,key_13,147,false
read,2.52,key_1,151,false
read,0.70,key_7,159,false
write,320.83,key_0,150,false
write,320.78,key_2,159,false
write,320.83,key_6,161,false
write,320.83,key_18,175,false
write,320.93,key_15,172,false
write,320.88,key_13,148,false
write,320.58,key_19,164,false
write,317.82,key_13,149,false
write,320.84,key_15,173,false
write,320.83,key_0,151,false
read,2.50,key_9,147,false
read,2.44,key_13,149,false
read,0.92,key_15,172,true
write,316.38,key_1,152,false
write,316.48,key_11,175,false
write,316.49,key_8,159,false
write,316.70,key_8,160,false
write,314.03,key_19,165,false
write,316.59,key_3,148,false
write,316.81,key_11,176,false
write,313.30,key_2,160,false
write,316.81,key_14,198,false
write,316.68,key_7,160,false
read,2.70,key_2,160,false
read,2.97,key_14,198,false
read,0.83,key_10,153,false
write,315.09,key_15,175,false
write,318.07,key_13,151,false
write,317.81,key_1,153,false
write,317.94,key_11,177,false
write,318.02,key_19,166,false
write,317.91,key_10,154,false
write,314.18,key_12,161,false
write,318.13,key_13,150,false
write,318.04,key_15,174,false
write,318.08,key_19,167,false
read,2.70,key_3,148,false
read,3.47,key_18,175,false
write,318.86,key_9,148,false
write,318.77,key_14,199,false
write,318.72,key_4,166,false
write,316.07,key_15,176,false
write,319.15,key_16,174,false
write,319.13,key_1,154,false
write,319.24,key_0,152,false
write,319.26,key_9,149,false
write,318.43,key_10,155,false
read,3.27,key_8,160,false
write,322.35,key_13,152,false
read,4.87,key_1,154,false
write,322.57,key_14,200,false
write,322.82,key_17,156,false
write,322.61,key_4,167,false
write,319.38,key_11,178,false
write,322.62,key_6,162,false
write,317.65,key_19,168,false
write,322.87,key_16,175,false
write,319.86,key_18,176,false
write,319.54,key_2,162,false
write,322.70,key_2,161,false
write,320.51,key_15,177,false
write,320.57,key_17,157,false
write,320.48,key_1,155,false
write,320.45,key_16,176,false
write,320.65,key_0,153,false
write,320.83,key_8,161,false
write,320.61,key_17,158,false
write,320.59,key_13,153,false
write,322.88,key_19,169,false
write,322.92,key_10,156,false
write,314.22,key_18,177,false
write,314.18,key_17,159,false
write,314.14,key_2,163,false
write,311.99,key_13,154,false
write,314.24,key_6,163,false
write,314.24,key_8,162,false
write,314.38,key_10,157,false
write,314.09,key_12,162,false
write,314.35,key_7,161,false
write,311.84,key_4,168,false
read,2.55,key_12,162,false
read,2.64,key_9,149,false
write,314.98,key_16,177,false
write,314.85,key_14,201,false
write,315.10,key_11,179,false
write,314.97,key_17,161,false
write,312.36,key_16,178,false
write,315.97,key_0,154,false
write,316.09,key_15,178,false
write,313.38,key_5,148,false
write,316.20,key_10,158,false
write,316.20,key_17,160,false
read,2.04,key_11,179,false
write,315.88,key_12,163,false
write,317.20,key_1,156,false
write,314.09,key_13,155,false
write,316.31,key_3,149,false
write,317.34,key_19,170,false
write,316.52,key_0,155,false
write,316.34,key_5,149,false
write,317.29,key_6,164,false
write,317.44,key_7,162,false
write,317.46,key_10,159,false
write,323.16,key_13,157,false
write,323.48,key_8,163,false
write,323.41,key_16,179,false
write,323.37,key_18,178,false
write,323.39,key_10,160,false
write,323.64,key_13,156,false
write,323.54,key_12,164,false
write,323.65,key_3,150,false
write,323.63,key_4,169,false
write,323.78,key_7,163,false
read,2.88,key_0,155,false
write,316.08,key_4,170,false
write,316.20,key_12,167,false
write,316.37,key_19,171,false
write,316.32,key_12,166,false
write,316.24,key_7,164,false
write,316.38,key_12,165,false
write,313.30,key_5,150,false
write,316.17,key_19,172,false
write,316.59,key_10,161,false
write,316.53,key_11,180,false
write,317.74,key_10,162,false
write,317.69,key_0,156,false
write,317.89,key_9,150,false
write,317.74,key_16,180,false
write,317.97,key_10,163,false
write,318.07,key_8,165,false
write,318.20,key_12,168,false
write,318.34,key_3,151,false
write,318.41,key_18,179,false
write,318.51,key_8,164,false
write,330.36,key_19,173,false
write,330.56,key_9,151,false
write,330.84,key_11,181,false
write,330.69,key_6,165,false
write,330.36,key_12,170,false
write,330.87,key_13,158,false
write,330.33,key_12,169,false
write,330.54,key_13,159,false
write,330.87,key_0,157,false
write,331.32,key_0,158,false
read,2.55,key_10,163,false
read,2.52,key_7,164,false
read,0.86,key_15,178,false
read,3.45,key_9,151,false
write,327.98,key_17,162,false
write,327.87,key_9,152,false
write,328.20,key_1,160,false
write,328.07,key_1,158,false
write,327.98,key_1,159,false
write,328.13,key_1,157,false
write,325.05,key_9,153,false
write,328.53,key_13,160,false
write,325.95,key_15,179,false
write,325.20,key_3,152,false
write,319.98,key_4,172,false
write,319.93,key_4,171,false
write,320.42,key_18,180,false
write,320.64,key_9,154,false
write,320.19,key_0,159,false
write,320.42,key_0,160,false
write,320.27,key_2,164,false
write,320.61,key_15,180,false
write,320.58,key_0,161,false
write,320.32,key_13,161,false
read,3.20,key_6,165,false
write,315.00,key_18,181,false
write,314.89,key_9,155,false
write,315.52,key_11,183,false
write,315.75,key_11,182,false
write,315.89,key_13,162,false
write,315.70,key_5,151,false
write,315.77,key_15,181,false
write,315.71,key_19,174,false
write,312.82,key_3,153,false
write,317.91,key_10,164,false
read,2.41,key_14,201,false
write,320.15,key_12,171,false
write,319.53,key_10,165,false
write,316.98,key_15,182,false
write,319.53,key_3,154,false
write,319.46,key_9,157,false
write,319.57,key_9,156,false
write,320.34,key_2,165,false
write,319.38,key_9,158,false
write,317.16,key_3,156,false
write,319.29,key_3,155,false
write,314.06,key_19,175,false
write,314.00,key_7,166,false
write,314.27,key_9,159,false
write,314.25,key_11,185,false
write,314.16,key_17,163,false
write,314.26,key_9,160,false
write,314.21,key_16,181,false
write,314.40,key_11,184,false
write,314.13,key_7,165,false
write,314.19,key_6,166,false
read,2.57,key_19,175,false
write,317.48,key_15,183,false
write,317.59,key_15,184,false
write,317.47,key_14,202,false
write,317.37,key_0,162,false
write,317.47,key_10,166,false
write,317.66,key_12,172,false
write,317.41,key_1,161,false
write,314.89,key_9,161,false
write,317.83,key_17,164,false
write,317.43,key_5,152,false
read,2.54,key_7,166,false
write,316.81,key_8,166,false
write,314.15,key_8,167,false
write,317.38,key_13,164,false
write,316.75,key_11,186,false
write,316.86,key_19,176,false
write,317.38,key_15,185,false
write,317.75,key_0,163,false
write,316.70,key_17,165,false
write,316.88,key_18,182,false
write,318.07,key_13,163,false
read,3.71,key_5,152,false
write,327.99,key_10,167,false
write,327.54,key_3,158,false
write,328.02,key_12,173,false
write,327.53,key_3,157,false
write,328.24,key_14,203,false
write,325.01,key_12,175,false
write,327.85,key_13,165,false
write,327.80,key_17,166,false
write,327.60,key_12,174,false
write,328.20,key_7,167,false
read,1.80,key_6,166,false
write,321.39,key_4,173,false
write,321.28,key_15,186,false
write,321.40,key_7,168,false
write,321.20,key_3,159,false
write,319.57,key_13,166,false
write,321.37,key_19,177,false
write,321.40,key_19,178,false
write,321.37,key_15,187,false
write,321.43,key_11,187,false
write,321.36,key_0,164,false
read,2.12,key_7,168,false
read,2.28,key_4,173,false
write,316.23,key_19,179,false
write,316.30,key_10,168,false
write,316.26,key_8,168,false
write,314.03,key_11,188,false
write,316.39,key_1,162,false
write,316.57,key_17,167,false
write,314.36,key_4,174,false
write,316.85,key_0,165,false
write,316.83,key_17,168,false
write,317.12,key_10,169,false
write,321.62,key_0,166,false
write,320.93,key_10,171,false
write,321.67,key_3,160,false
write,321.11,key_18,183,false
write,321.46,key_10,170,false
write,321.55,key_14,204,false
write,321.23,key_6,167,false
write,321.32,key_7,169,false
write,321.65,key_16,182,false
write,321.89,key_8,169,false
write,318.19,key_9,162,false
write,318.20,key_12,176,false
write,318.27,key_19,180,false
write,317.96,key_4,176,false
write,318.19,key_3,162,false
write,318.22,key_16,183,false
write,318.29,key_10,172,false
write,318.59,key_3,161,false
write,318.81,key_1,163,false
write,318.61,key_4,175,false
read,3.38,key_3,162,false
read,3.54,key_1,163,false
write,318.81,key_18,184,false
write,319.43,key_16,185,false
write,319.31,key_2,166,false
write,319.00,key_17,169,false
write,319.44,key_19,181,false
write,318.64,key_9,163,false
write,319.38,key_7,170,false
write,316.11,key_1,164,false
write,316.25,key_7,171,false
write,319.80,key_16,184,false
read,3.11,key_2,166,false
read,3.20,key_0,166,false
read,1.05,key_17,169,false
write,329.48,key_7,173,false
write,333.66,key_3,163,false
write,333.67,key_10,173,false
write,334.01,key_7,172,false
write,334.12,key_4,178,false
write,330.80,key_15,189,false
write,334.28,key_2,167,false
write,334.25,key_4,177,false
write,334.31,key_19,182,false
write,334.44,key_15,188,false
read,0.69,key_13,167,false
write,323.79,key_18,185,false
write,323.76,key_2,168,false
write,322.92,key_8,170,false
write,323.96,key_7,174,false
write,323.68,key_17,170,false
