type,latency_ms,key,version,stale
write,5.22,key_13,41,false
write,5.30,key_3,36,false
write,8.51,key_16,27,false
write,8.59,key_13,42,false
write,8.71,key_15,24,false
write,1.82,key_3,37,false
write,0.66,key_15,25,false
read,57.39,key_17,38,false
read,60.19,key_9,25,false
read,60.22,key_15,25,false
read,60.07,key_0,26,false
read,60.12,key_16,27,false
read,56.92,key_9,25,false
write,2.08,key_2,30,false
write,2.13,key_17,39,false
read,57.39,key_11,31,false
read,54.14,key_18,35,false
write,3.27,key_11,32,false
write,1.00,key_12,34,false
read,53.03,key_18,35,false
read,55.68,key_19,41,false
write,0.80,key_17,40,false
write,0.49,key_9,26,false
read,53.88,key_9,26,false
read,54.49,key_0,26,false
read,54.59,key_3,37,false
read,58.63,key_13,42,false
read,56.39,key_3,37,false
read,61.31,key_2,30,false
read,54.91,key_13,42,false
read,56.66,key_16,27,false
read,56.56,key_3,37,false
read,56.15,key_13,42,false
write,2.27,key_16,28,false
write,2.31,key_0,27,false
write,2.40,key_7,33,false
write,1.41,key_6,40,false
write,1.55,key_0,28,false
write,0.59,key_17,41,false
write,0.70,key_6,41,false
write,4.62,key_1,35,false
read,55.74,key_12,34,false
read,53.44,key_15,25,false
read,55.73,key_13,42,false
read,55.71,key_1,35,false
read,55.68,key_8,38,false
write,2.31,key_9,27,false
read,53.90,key_0,28,false
read,54.04,key_17,41,false
write,2.95,key_16,29,false
read,54.16,key_18,35,false
read,58.71,key_6,41,false
write,2.00,key_1,36,false
write,1.95,key_19,42,false
read,60.61,key_6,41,false
write,1.58,key_12,35,false
write,3.48,key_8,39,false
write,1.66,key_14,41,false
write,3.55,key_2,31,false
write,1.15,key_3,38,false
write,1.17,key_9,28,false
write,2.82,key_3,39,false
write,1.22,key_5,30,false
write,1.22,key_18,36,false
read,53.71,key_11,32,false
read,53.40,key_14,41,false
read,56.29,key_12,35,false
read,56.80,key_6,41,false
read,56.77,key_8,38,true
write,1.14,key_15,26,false
write,1.08,key_1,37,false
write,1.64,key_12,36,false
write,1.81,key_13,43,false
write,0.96,key_10,39,false
read,55.05,key_8,39,false
read,55.05,key_17,41,false
read,54.21,key_18,36,false
write,0.94,key_12,37,false
write,1.00,key_5,31,false
read,54.31,key_0,28,false
write,0.89,key_0,29,false
