type,latency_ms,key,version,stale
read,3.98,key_9,34,false
read,3.92,key_6,29,false
read,4.52,key_15,34,false
read,5.82,key_8,32,false
read,1.82,key_7,27,false
read,5.86,key_3,35,false
read,5.96,key_14,35,false
read,1.84,key_9,34,false
read,5.93,key_1,41,false
read,7.41,key_18,35,false
read,1.62,key_9,34,false
read,1.59,key_14,35,false
read,7.59,key_0,29,false
read,7.46,key_19,37,false
read,3.65,key_10,30,false
read,6.69,key_19,37,false
read,6.02,key_8,32,false
read,6.05,key_0,29,false
read,6.03,key_11,34,false
read,0.78,key_9,34,false
read,4.39,key_13,37,false
read,4.53,key_19,37,false
read,4.40,key_2,42,false
read,6.07,key_2,42,false
read,0.65,key_0,29,false
read,0.63,key_4,38,false
read,0.82,key_13,37,false
read,0.82,key_10,29,false
read,0.83,key_8,32,false
read,1.57,key_10,30,false
read,1.94,key_0,29,false
read,1.24,key_15,34,false
read,1.13,key_11,34,false
read,1.93,key_1,41,false
read,1.11,key_13,37,false
read,0.45,key_16,37,false
read,1.55,key_15,34,false
read,0.49,key_2,42,false
read,0.49,key_19,38,false
read,0.28,key_19,37,false
read,0.79,key_1,41,false
read,0.35,key_11,34,false
read,0.63,key_11,34,false
read,0.66,key_3,34,false
read,1.00,key_13,37,false
read,0.71,key_7,27,false
read,1.12,key_19,37,false
read,0.50,key_8,32,false
read,0.51,key_7,27,false
read,0.50,key_7,27,false
read,0.50,key_11,34,false
read,0.37,key_15,34,false
read,0.41,key_12,31,false
read,0.40,key_6,29,false
read,0.40,key_15,34,false
read,0.52,key_17,35,false
read,0.58,key_12,30,false
read,0.55,key_4,38,false
read,0.57,key_14,35,false
read,0.40,key_10,30,false
read,0.39,key_18,35,false
read,0.43,key_4,38,false
read,0.46,key_16,37,false
read,0.44,key_11,34,false
read,0.44,key_9,34,false
read,0.49,key_12,30,false
read,0.40,key_7,27,false
read,0.42,key_10,30,false
read,0.85,key_3,35,false
read,0.32,key_1,41,false
read,0.43,key_1,42,false
read,0.32,key_10,30,false
read,0.48,key_10,29,false
read,1.22,key_8,32,false
read,0.30,key_3,35,false
read,0.27,key_5,36,false
read,0.34,key_0,29,false
read,0.37,key_8,32,false
read,0.40,key_8,32,false
read,0.27,key_9,34,false
read,0.25,key_5,36,false
read,0.29,key_6,29,false
read,0.30,key_17,35,false
read,0.28,key_16,37,false
read,0.28,key_8,32,false
read,0.27,key_0,30,false
read,0.23,key_10,30,false
read,0.22,key_14,35,false
read,0.94,key_19,37,false
read,0.24,key_5,36,false
read,0.23,key_9,34,false
read,0.22,key_18,35,false
read,0.21,key_9,34,false
read,0.25,key_7,27,false
write,314.23,key_1,42,false
write,314.57,key_6,30,false
write,309.02,key_7,28,false
write,316.30,key_16,38,false
write,310.19,key_10,31,false
write,305.02,key_13,38,false
write,307.94,key_5,37,false
write,314.49,key_19,38,false
write,312.98,key_0,30,false
write,321.07,key_12,31,false
read,1.66,key_2,42,false
read,2.92,key_2,42,false
read,1.71,key_0,30,false
read,1.75,key_8,32,false
read,1.90,key_18,35,false
read,1.90,key_3,35,false
read,0.57,key_16,38,false
read,0.72,key_13,38,false
read,0.91,key_2,42,false
read,2.93,key_12,31,false
read,0.84,key_7,28,false
read,1.41,key_17,35,false
read,0.99,key_3,35,false
read,3.51,key_17,35,false
read,3.60,key_12,31,false
read,4.50,key_4,38,false
read,1.25,key_7,28,false
read,1.33,key_1,42,false
read,0.84,key_1,42,false
read,0.87,key_8,32,false
read,0.97,key_6,30,false
read,0.87,key_1,42,false
read,0.85,key_16,38,false
read,1.01,key_17,35,false
read,3.69,key_8,32,false
read,2.35,key_11,34,false
read,3.25,key_4,38,false
read,1.05,key_8,32,false
read,0.60,key_1,42,false
read,0.51,key_16,38,false
read,0.65,key_12,31,false
read,0.68,key_14,35,false
read,0.62,key_5,37,false
read,1.51,key_4,38,false
read,0.58,key_1,42,false
read,0.67,key_6,30,false
read,1.24,key_5,37,false
read,0.65,key_1,42,false
read,0.70,key_1,42,false
read,1.37,key_16,38,false
read,0.65,key_8,32,false
read,0.71,key_13,38,false
read,0.68,key_9,34,false
read,1.37,key_1,42,false
read,1.40,key_16,38,false
read,0.84,key_19,38,false
read,0.54,key_6,30,false
read,1.00,key_2,43,false
read,0.93,key_5,37,false
read,1.69,key_2,42,false
read,1.80,key_18,35,false
read,1.10,key_13,38,false
read,1.47,key_8,32,false
read,0.80,key_14,35,false
read,0.86,key_5,37,false
read,0.92,key_15,34,false
read,1.13,key_6,30,false
read,0.56,key_10,31,false
read,1.93,key_15,34,false
read,0.60,key_8,32,false
read,0.82,key_0,30,false
read,0.73,key_8,32,false
read,0.63,key_11,34,false
read,0.76,key_0,30,false
read,1.75,key_9,34,false
read,0.48,key_10,31,false
read,0.83,key_2,42,false
read,1.07,key_14,35,false
read,0.84,key_1,42,false
read,0.89,key_0,30,false
read,1.22,key_10,31,false
read,0.84,key_18,35,false
read,0.88,key_10,31,false
read,0.72,key_7,28,false
read,0.41,key_2,43,false
read,0.82,key_7,28,false
read,0.36,key_6,30,false
read,0.39,key_18,35,false
read,0.34,key_12,31,false
read,0.48,key_17,35,false
read,0.49,key_13,38,false
read,0.87,key_12,31,false
read,0.86,key_0,30,false
read,0.92,key_7,28,false
read,0.27,key_8,32,false
read,0.38,key_10,31,false
read,0.28,key_0,30,false
read,0.27,key_13,38,false
read,0.30,key_6,30,false
read,0.30,key_8,32,false
read,0.39,key_8,32,false
read,0.46,key_13,38,false
read,0.47,key_8,33,false
read,0.47,key_19,38,false
read,0.46,key_10,31,false
read,0.53,key_18,35,false
read,0.29,key_0,30,false
read,0.31,key_0,30,false
read,0.34,key_11,34,false
read,0.45,key_6,30,false
read,0.55,key_17,35,false
read,0.47,key_10,31,false
read,0.33,key_1,42,false
read,0.27,key_11,34,false
read,0.32,key_0,30,false
read,0.32,key_1,42,false
read,0.36,key_15,34,false
read,0.31,key_18,35,false
read,0.31,key_4,38,false
read,0.39,key_7,28,false
read,0.30,key_11,34,false
read,0.32,key_18,35,false
write,313.23,key_8,33,false
write,306.67,key_5,38,false
write,310.34,key_9,35,false
write,314.38,key_2,43,false
write,307.36,key_0,31,false
write,306.21,key_2,43,false
read,0.55,key_7,28,false
read,1.28,key_6,30,false
read,1.35,key_0,31,false
read,0.77,key_11,34,false
read,1.35,key_6,30,false
write,309.08,key_16,39,false
read,1.02,key_4,38,false
read,1.04,key_14,35,false
read,1.17,key_2,43,false
write,309.22,key_0,31,false
write,306.54,key_2,43,false
read,1.06,key_6,30,false
read,2.91,key_1,43,false
read,1.75,key_15,34,false
read,0.80,key_15,34,false
read,0.74,key_17,35,false
read,0.75,key_17,35,false
read,0.78,key_8,33,false
read,0.90,key_17,35,false
read,0.69,key_16,39,false
read,0.70,key_4,38,false
read,0.75,key_14,35,false
read,0.89,key_17,35,false
read,1.14,key_13,38,false
read,0.64,key_11,34,false
read,0.75,key_1,44,false
read,0.65,key_7,28,false
read,1.57,key_9,35,false
read,2.33,key_12,31,false
read,0.33,key_14,35,false
read,0.60,key_8,33,false
read,0.48,key_5,38,false
read,0.59,key_7,28,false
read,0.48,key_11,34,false
read,0.65,key_7,28,false
read,1.02,key_9,35,false
read,0.62,key_15,34,false
read,0.39,key_18,36,false
read,0.32,key_3,35,false
read,0.64,key_8,33,false
read,0.68,key_6,30,false
read,0.48,key_13,38,false
read,0.77,key_14,35,false
read,1.31,key_10,31,false
read,1.53,key_18,36,false
read,0.70,key_14,35,false
read,0.38,key_15,34,false
read,0.59,key_0,31,false
read,1.13,key_12,31,false
read,0.78,key_1,42,false
read,0.49,key_6,30,false
read,0.39,key_1,42,false
read,0.70,key_15,34,false
read,0.31,key_18,35,false
read,0.41,key_8,33,false
read,0.41,key_15,34,false
read,0.38,key_16,39,false
read,0.43,key_19,38,false
read,0.56,key_9,35,false
read,0.40,key_12,31,false
