type,latency_ms,key,version,stale
write,12.01,key_15,301,false
write,11.93,key_6,317,false
write,0.48,key_16,346,false
write,0.47,key_17,282,false
write,0.35,key_18,318,false
write,0.23,key_14,302,false
write,0.32,key_19,363,false
write,13.60,key_7,302,false
write,13.62,key_4,316,false
write,13.68,key_6,318,false
write,13.45,key_1,303,false
write,13.61,key_7,301,false
write,13.87,key_17,283,false
write,0.72,key_9,306,false
write,0.49,key_11,318,false
write,14.07,key_18,319,false
write,0.49,key_12,331,false
write,0.87,key_10,312,false
write,0.89,key_14,303,false
write,0.95,key_6,319,false
write,2.32,key_13,296,false
write,1.90,key_15,302,false
write,2.33,key_8,335,false
write,1.97,key_19,364,false
write,2.69,key_16,347,false
write,1.90,key_18,320,false
write,0.61,key_16,348,false
write,0.67,key_0,285,false
write,0.71,key_15,303,false
write,0.76,key_8,336,false
write,0.82,key_13,297,false
write,0.78,key_16,349,false
write,0.60,key_16,350,false
write,0.49,key_5,308,false
write,0.53,key_14,304,false
write,0.59,key_3,322,false
write,0.48,key_12,332,false
write,0.83,key_6,320,false
write,0.42,key_3,323,false
write,0.59,key_2,321,false
write,0.64,key_19,365,false
write,0.62,key_10,313,false
write,0.68,key_1,304,false
write,0.92,key_2,322,false
write,0.71,key_5,309,false
write,0.58,key_9,307,false
write,0.51,key_2,323,false
write,0.57,key_12,333,false
write,0.57,key_14,305,false
write,0.59,key_17,284,false
write,0.71,key_8,337,false
write,0.78,key_5,310,false
write,0.99,key_19,366,false
write,0.50,key_19,367,false
write,0.48,key_0,286,false
write,0.34,key_7,303,false
write,0.75,key_1,305,false
write,1.04,key_4,317,false
write,0.65,key_17,285,false
write,0.52,key_19,368,false
write,0.34,key_8,338,false
write,0.34,key_19,369,false
write,0.31,key_9,308,false
write,0.29,key_6,321,false
write,0.29,key_16,351,false
write,0.29,key_18,321,false
write,0.38,key_8,339,false
write,0.38,key_14,306,false
write,0.34,key_14,307,false
write,0.55,key_17,286,false
write,0.52,key_8,340,false
write,0.50,key_16,352,false
write,0.37,key_7,304,false
write,0.40,key_9,309,false
write,0.40,key_6,322,false
write,0.39,key_1,306,false
write,0.32,key_4,318,false
write,0.35,key_8,341,false
write,0.34,key_7,305,false
write,0.62,key_6,323,false
write,0.20,key_10,314,false
write,0.30,key_17,287,false
write,0.29,key_18,322,false
write,0.32,key_7,306,false
write,0.27,key_6,324,false
write,0.28,key_7,307,false
write,0.33,key_0,287,false
write,0.32,key_12,334,false
write,0.41,key_8,342,false
write,0.31,key_0,288,false
write,0.29,key_9,310,false
write,0.29,key_5,311,false
write,0.38,key_14,308,false
write,0.35,key_5,312,false
write,0.37,key_1,307,false
write,0.36,key_11,319,false
write,0.26,key_14,309,false
write,0.26,key_12,335,false
write,0.28,key_11,320,false
write,0.30,key_6,325,false
write,0.31,key_13,298,false
write,0.34,key_7,308,false
write,0.81,key_11,321,false
write,0.86,key_0,289,false
write,0.86,key_5,313,false
write,0.45,key_7,309,false
write,0.43,key_1,308,false
write,0.56,key_14,310,false
write,0.34,key_9,311,false
write,0.34,key_13,299,false
write,0.28,key_10,315,false
write,0.34,key_7,310,false
write,0.55,key_9,312,false
write,0.28,key_1,309,false
write,0.35,key_12,336,false
write,0.33,key_5,314,false
write,0.34,key_9,313,false
write,0.37,key_4,319,false
read,64.13,key_18,322,false
read,52.77,key_3,323,false
read,54.64,key_10,315,false
read,54.73,key_1,303,true
write,0.39,key_7,311,false
read,53.10,key_9,313,false
write,0.31,key_15,304,false
write,0.89,key_19,370,false
read,52.98,key_2,323,false
write,0.45,key_11,322,false
write,0.29,key_4,320,false
write,0.22,key_16,353,false
write,0.25,key_7,312,false
