key,interval_ms
key_12,3.66
key_12,17.04
key_12,21.08
key_12,28.67
key_16,0.56
key_12,32.60
key_16,4.87
key_16,5.59
key_16,16.34
key_12,54.31
key_12,54.86
key_2,4.36
key_16,24.27
key_16,25.16
key_12,58.38
key_2,9.03
key_16,29.87
key_12,63.17
key_2,13.12
key_16,33.66
key_2,18.12
key_12,70.67
key_16,40.26
key_16,47.26
key_2,31.21
key_12,86.61
key_12,90.27
key_2,43.48
key_12,96.11
key_12,96.64
key_16,70.70
key_12,103.82
key_12,104.45
key_2,60.11
key_12,0.50
key_2,66.48
key_2,79.33
key_12,15.87
key_12,16.28
key_2,86.77
key_12,24.10
key_12,25.23
key_16,27.96
key_12,28.85
key_16,31.67
key_16,38.03
key_2,16.62
key_16,40.80
key_16,41.58
key_2,20.45
key_16,47.00
key_16,47.89
key_2,24.09
key_12,49.74
key_12,52.08
key_18,3.60
key_12,55.50
key_2,33.18
key_2,35.04
key_2,38.47
key_2,39.41
key_16,70.53
key_16,77.00
key_2,56.54
key_2,58.02
key_2,61.48
key_7,0.31
key_2,65.08
key_16,89.75
key_2,65.73
key_18,39.02
key_12,91.43
key_2,67.74
key_12,92.13
key_2,68.59
key_2,70.42
key_2,70.88
key_19,8.48
key_12,97.22
key_7,11.54
key_2,74.30
key_19,10.01
key_19,11.29
key_2,76.03
key_16,101.58
key_12,102.51
key_16,103.35
key_7,20.62
key_18,58.14
key_12,110.49
key_2,88.30
key_2,89.50
key_12,116.91
key_12,119.56
key_12,130.83
key_19,45.40
key_18,84.82
key_12,137.43
key_16,137.65
key_2,114.56
key_12,140.49
key_12,142.15
key_7,58.00
key_7,60.01
key_19,60.24
key_18,103.83
key_7,70.02
key_7,72.66
key_19,71.39
key_12,160.19
key_16,161.69
key_19,75.21
key_19,76.82
key_2,141.56
key_18,120.88
key_2,151.62
key_19,87.96
key_19,88.17
key_7,93.06
key_2,159.70
key_16,185.55
key_12,186.66
key_19,100.66
key_18,137.93
key_2,167.02
key_2,168.30
key_18,141.81
key_12,193.61
key_18,142.83
key_19,107.67
key_2,172.41
key_2,172.64
key_19,108.58
key_19,114.12
key_16,235.07
key_19,152.76
key_2,218.96
key_16,243.85
key_18,192.81
key_19,162.45
key_12,251.88
key_12,252.70
key_19,169.92
key_18,220.04
key_5,9.49
key_12,273.88
key_18,224.25
key_18,227.01
key_2,255.44
key_12,281.08
key_19,193.32
key_18,230.58
key_7,197.34
key_5,27.72
key_5,28.66
key_10,61.47
key_7,208.06
key_12,296.56
key_12,297.98
key_18,247.50
key_12,299.33
key_10,67.95
key_16,300.58
key_12,303.89
key_18,252.80
key_5,42.30
key_12,5.90
key_19,235.02
key_12,7.68
key_16,326.05
key_10,94.86
key_2,303.69
key_16,328.58
key_5,66.17
key_12,15.03
key_12,19.27
key_2,313.10
key_15,1.88
key_18,287.02
key_2,315.21
key_16,340.10
key_19,8.38
key_16,351.88
key_10,120.60
key_18,301.14
key_16,353.57
key_15,17.03
key_12,37.00
key_5,90.42
key_19,21.18
key_7,269.82
key_18,305.17
key_12,39.91
key_19,23.44
key_18,305.62
key_15,20.78
key_16,357.78
key_2,333.90
key_5,94.00
key_18,306.60
key_7,271.85
key_15,21.96
key_15,22.14
key_2,334.90
key_2,336.30
key_2,336.60
key_16,360.66
key_10,129.28
key_5,96.79
key_18,311.39
key_18,311.43
key_16,363.19
key_18,311.95
key_16,363.97
key_15,27.49
key_2,341.25
key_2,341.27
key_7,279.46
key_2,342.46
key_16,366.73
key_15,31.92
key_5,104.46
key_19,35.14
key_16,368.98
key_10,137.40
key_10,137.56
key_18,318.01
key_7,283.64
key_18,319.25
key_10,139.44
key_18,319.60
key_4,6.21
key_7,285.07
key_12,54.90
key_18,320.34
key_15,35.46
key_4,7.25
key_15,36.23
key_10,141.50
key_7,286.90
key_16,373.44
key_5,109.36
key_12,56.92
key_12,57.97
key_19,41.26
key_16,375.11
key_19,42.38
key_12,59.11
key_12,59.38
key_19,42.69
key_4,11.27
key_7,290.46
key_18,326.31
key_16,377.87
key_2,354.11
key_7,291.65
key_5,115.47
key_15,43.92
key_7,294.20
key_15,45.05
key_18,330.20
key_4,16.67
key_5,118.12
key_16,382.65
key_4,17.60
key_12,66.11
key_15,47.25
key_2,359.83
key_10,152.37
key_4,19.28
key_4,19.53
key_7,299.11
key_10,154.51
key_7,300.10
key_12,70.56
key_7,301.18
key_10,156.86
key_5,124.45
key_12,72.00
key_18,337.47
key_10,157.79
key_7,302.86
key_15,53.34
key_19,57.04
key_16,390.86
key_16,391.09
key_18,340.16
key_4,26.43
key_4,26.83
key_5,128.92
key_2,373.53
key_4,32.28
key_18,346.42
key_16,398.76
key_4,33.48
key_4,34.45
key_4,34.50
key_15,65.02
key_7,316.01
key_16,403.40
key_18,352.69
key_10,172.70
key_12,87.98
key_2,380.80
key_2,381.10
key_18,353.70
key_10,173.94
key_10,173.97
key_18,354.41
key_18,354.52
key_19,10.05
key_12,89.43
key_19,10.54
key_15,70.05
key_16,407.37
key_7,321.00
key_10,176.19
key_12,90.97
key_15,71.20
key_2,384.05
key_16,408.10
key_2,384.42
key_7,322.52
key_2,385.70
key_7,323.70
key_2,386.34
key_16,410.65
key_2,386.75
key_4,45.89
key_18,359.85
key_15,75.13
key_16,411.75
key_18,360.40
key_18,360.52
key_12,95.63
key_18,360.93
key_13,3.04
key_16,412.81
key_16,413.79
key_10,182.22
key_18,362.57
key_2,390.09
key_7,327.90
key_18,362.94
key_2,390.50
key_12,98.00
key_2,390.93
key_2,391.95
key_19,19.97
key_12,99.52
key_18,364.79
key_15,79.83
key_12,99.81
key_13,7.19
key_18,365.41
key_7,330.42
key_12,100.48
key_2,393.26
key_18,365.76
key_19,21.42
key_16,417.67
key_4,52.38
key_2,393.87
key_4,53.40
key_12,101.93
key_2,394.99
key_19,23.41
key_13,9.88
key_18,368.50
key_15,83.57
key_15,84.29
key_2,396.92
key_13,11.42
key_13,11.44
key_15,84.82
key_16,421.59
key_18,370.06
key_10,190.72
key_5,158.22
key_12,105.59
key_12,105.78
key_5,158.63
key_15,86.26
key_5,159.00
key_7,336.57
key_12,106.34
key_13,13.71
key_2,400.04
key_18,372.53
key_5,160.30
key_7,337.86
key_19,28.36
key_5,160.68
key_7,339.13
key_4,60.55
key_15,89.39
key_18,374.61
key_2,402.22
key_7,340.21
key_15,90.16
key_13,17.26
key_2,403.10
key_16,427.22
key_5,163.55
key_18,376.26
key_16,427.83
key_15,91.60
key_12,111.40
key_19,32.55
key_7,342.06
key_13,19.09
key_18,377.30
key_4,63.81
key_2,405.59
key_10,198.25
key_18,378.57
key_2,406.68
key_5,166.92
key_19,35.17
key_19,35.15
key_4,66.41
key_10,200.14
key_18,380.56
key_7,345.59
key_7,345.60
key_5,168.16
key_13,22.60
key_7,346.07
key_2,408.59
key_15,96.44
key_10,201.65
key_16,433.52
key_16,434.44
key_5,170.39
key_15,97.88
key_12,117.98
key_19,38.76
key_13,25.29
key_10,203.45
key_12,118.31
key_19,39.56
key_13,25.95
key_18,384.39
key_18,384.40
key_10,204.69
key_10,204.69
key_7,350.03
key_5,172.98
key_5,173.13
key_7,350.98
key_16,437.55
key_7,351.29
key_19,41.80
key_10,206.26
key_4,73.15
key_16,438.84
key_15,102.26
key_5,174.90
key_7,352.62
key_15,102.57
key_2,415.25
key_18,387.99
key_15,103.08
key_12,123.03
key_19,43.98
key_19,44.08
key_13,30.63
key_12,123.97
key_7,354.28
key_4,75.84
key_10,209.90
key_2,417.48
key_5,177.93
key_7,355.58
key_19,46.40
key_19,47.07
key_4,78.20
key_5,179.80
key_18,392.56
key_13,34.66
key_7,358.43
key_10,213.42
key_4,79.93
key_18,394.07
key_12,128.82
key_2,421.98
key_10,215.25
key_19,50.96
key_7,360.85
key_2,423.37
key_12,130.92
key_7,361.48
key_4,82.72
key_2,424.01
key_4,83.02
key_12,131.55
key_15,111.77
key_15,112.03
key_16,448.99
key_16,449.22
key_7,362.86
key_12,133.32
key_12,133.61
key_10,218.88
key_2,426.60
key_19,54.62
key_10,219.22
key_15,114.31
key_16,451.17
key_19,55.51
key_7,365.23
key_19,55.92
key_15,115.48
key_7,365.82
key_12,135.55
key_5,188.62
key_2,429.14
key_7,366.66
key_5,189.63
key_19,57.67
key_10,222.41
key_5,190.09
key_13,45.03
key_4,89.50
key_5,190.74
key_7,368.85
key_10,224.05
key_2,431.77
key_12,139.17
key_19,60.45
key_13,47.02
key_19,60.76
key_7,370.50
key_10,226.40
key_12,141.38
key_13,48.77
key_12,142.55
key_18,408.00
key_10,228.30
key_12,143.59
key_15,124.09
key_15,124.14
key_10,229.99
key_19,65.83
key_15,125.50
key_2,438.37
key_7,376.19
key_4,97.50
key_15,126.39
key_16,463.02
key_7,376.70
key_13,53.81
key_4,98.56
key_5,200.50
key_13,54.86
key_16,464.82
key_13,55.54
key_7,379.00
key_16,465.69
key_10,235.03
key_15,130.05
key_18,415.69
key_15,130.76
key_19,71.58
key_10,236.06
key_5,203.88
key_10,236.59
key_18,417.47
key_12,152.32
key_2,445.20
key_2,445.52
key_5,205.48
key_7,383.80
key_19,74.29
key_12,153.77
key_19,74.55
key_5,206.74
key_4,105.71
key_10,239.96
key_7,385.05
key_7,385.27
key_4,106.72
key_5,207.96
key_18,420.82
key_16,472.72
key_10,241.15
key_18,421.33
key_19,77.03
key_16,473.12
key_10,241.75
key_4,108.98
key_10,242.71
key_18,423.17
key_15,138.38
key_19,79.05
key_16,475.27
key_2,451.89
key_7,389.39
key_12,159.12
key_4,110.93
key_16,476.84
key_19,81.06
key_16,477.13
key_5,213.65
key_13,68.63
key_15,141.79
key_5,214.49
key_10,247.21
key_12,162.25
key_18,427.83
key_13,70.10
key_13,70.67
key_5,216.85
key_12,164.86
key_10,250.36
key_15,146.05
key_15,146.16
key_2,458.92
key_16,483.14
key_12,166.57
key_16,483.47
key_2,459.64
key_19,88.33
key_5,220.54
key_13,75.04
key_2,461.09
key_13,75.91
key_19,89.72
key_2,461.89
key_12,170.28
key_15,151.40
key_19,92.47
key_16,488.71
key_7,402.22
key_4,124.62
key_10,258.37
key_5,226.00
key_19,94.33
key_16,490.40
key_18,439.08
key_15,154.04
key_4,125.50
key_2,467.91
key_2,468.09
key_4,126.95
key_10,260.98
key_15,156.90
key_4,128.31
key_13,84.58
key_10,262.97
key_4,129.27
key_16,494.83
key_7,408.31
key_2,470.99
key_13,85.30
key_13,85.55
key_12,178.50
key_4,130.18
key_10,264.15
key_13,86.79
key_2,472.56
key_10,265.74
key_15,160.84
key_2,473.50
key_2,473.64
key_12,181.09
key_5,234.05
key_18,446.96
key_13,89.53
key_18,448.87
key_16,500.43
key_15,164.01
key_18,449.33
key_19,105.54
key_7,415.28
key_7,416.13
key_12,185.91
key_16,502.93
key_13,93.41
key_18,452.31
key_18,452.36
key_13,94.64
key_18,452.85
key_5,241.14
key_2,481.20
key_5,241.52
key_13,96.21
key_13,96.26
key_5,242.10
key_19,1.08
key_10,275.27
key_13,97.36
key_15,170.52
key_19,1.75
key_4,142.49
key_7,421.48
key_4,143.07
key_10,276.99
key_19,3.04
key_2,486.19
key_10,278.64
key_7,423.94
key_7,424.03
key_15,174.33
key_5,247.13
key_15,174.98
key_13,102.05
key_16,512.01
key_4,146.87
key_7,426.35
key_15,176.58
key_2,489.51
key_5,249.72
key_16,514.07
key_7,428.32
key_5,250.78
key_12,198.31
key_5,251.29
key_13,105.89
key_16,515.68
key_7,429.42
key_12,199.28
key_7,430.01
key_5,252.87
key_19,11.69
key_4,152.42
key_5,254.81
key_13,109.73
key_19,13.94
key_2,495.85
key_18,468.52
key_15,183.93
key_19,14.97
key_2,497.74
key_13,112.58
key_19,16.98
key_7,436.45
key_15,186.41
key_10,292.34
key_16,524.18
key_19,19.12
key_7,438.34
key_16,525.03
key_15,188.75
key_5,262.26
key_5,262.28
key_5,262.46
key_7,440.62
key_12,210.61
key_7,441.69
key_15,192.42
key_13,126.57
key_12,219.75
key_15,201.01
key_15,201.20
key_5,273.93
key_10,306.93
key_7,452.17
key_5,274.86
key_16,539.34
key_12,222.72
key_12,223.03
key_15,203.25
key_18,488.48
key_10,308.85
key_12,223.89
key_15,204.99
key_13,131.86
key_19,36.06
key_13,132.31
key_19,36.35
key_13,132.57
key_4,177.25
key_2,519.54
key_15,207.01
key_16,543.80
key_7,457.53
key_7,457.54
key_12,227.59
key_10,312.83
key_5,280.79
key_2,522.42
key_2,522.68
key_18,495.35
key_15,210.77
key_4,182.07
key_16,547.64
key_5,284.50
key_13,138.91
key_12,231.99
key_10,317.27
key_5,285.01
key_12,232.94
key_4,184.67
key_12,233.44
key_10,318.93
key_2,526.71
key_15,214.78
key_5,287.47
key_16,551.74
key_12,236.70
key_12,237.09
key_18,502.55
key_13,144.54
key_18,503.50
key_18,503.70
key_18,505.94
key_7,471.11
key_2,534.34
key_16,559.98
key_13,150.39
key_5,296.94
key_12,244.97
key_12,245.86
key_10,331.28
key_2,539.63
key_2,539.70
key_15,227.30
key_18,512.36
key_12,247.30
key_2,541.36
key_19,59.85
key_12,248.89
key_4,200.55
key_13,156.49
key_15,229.87
key_5,4.26
key_7,480.38
key_12,250.11
key_4,201.82
key_13,157.38
key_7,480.86
key_18,516.05
key_4,202.47
key_18,519.23
key_16,570.97
key_16,571.05
key_5,8.80
key_18,520.03
key_5,10.08
key_5,10.62
key_2,549.07
key_15,236.75
key_2,549.34
key_13,163.82
key_2,549.56
key_19,68.04
key_4,208.69
key_16,574.22
key_13,165.37
key_19,69.59
key_12,259.14
key_18,524.42
key_19,70.40
key_12,260.23
key_19,73.14
key_4,214.45
key_7,493.42
key_4,214.67
key_15,244.13
key_5,18.36
key_12,264.08
key_7,494.57
key_15,245.24
key_5,19.60
key_7,495.82
key_13,173.03
key_15,246.46
key_18,531.83
key_19,78.30
key_4,218.90
key_16,584.43
key_16,584.61
key_16,586.14
key_10,355.23
key_16,587.51
key_7,501.19
key_13,178.24
key_5,26.14
key_16,588.77
key_12,272.04
key_2,564.98
key_5,26.77
key_12,273.04
key_19,84.46
key_16,590.77
key_7,504.38
key_15,254.39
key_4,225.85
key_15,254.57
key_12,275.41
key_12,275.70
key_12,275.72
key_12,275.94
key_4,228.10
key_13,183.95
key_19,88.17
key_7,507.58
key_10,362.79
key_15,257.79
key_15,258.01
key_13,184.88
key_18,543.25
key_12,278.37
key_7,509.60
key_5,33.89
key_19,91.00
key_18,545.76
key_15,260.88
key_13,188.52
key_10,366.86
key_16,599.02
key_16,599.21
key_13,189.69
key_13,189.88
key_16,600.10
key_16,600.32
key_2,576.48
key_16,600.68
key_19,95.15
key_15,264.54
key_2,577.56
key_15,265.43
key_12,285.86
key_2,579.39
key_10,371.95
key_15,266.99
key_16,603.70
key_15,267.16
key_7,519.05
key_13,195.85
key_2,583.69
key_2,584.33
key_18,560.17
key_18,560.43
key_15,276.54
key_12,296.36
key_16,1.53
key_10,381.88
key_2,589.56
key_19,107.88
key_7,527.37
key_7,528.02
key_2,590.58
key_12,298.08
key_15,278.59
key_4,250.06
key_18,564.03
key_7,529.25
key_7,529.88
key_19,110.96
key_15,280.96
key_4,253.35
key_12,302.25
key_7,532.62
key_19,114.36
key_12,303.40
key_15,283.80
key_5,58.16
key_10,389.06
key_16,9.14
key_12,304.33
key_10,390.76
key_15,285.92
key_10,390.93
key_15,286.02
key_4,257.60
key_4,257.84
key_7,537.24
key_2,599.95
key_10,392.69
key_7,537.94
key_5,62.27
key_19,118.95
key_15,288.38
key_7,538.74
key_10,402.28
