type,latency_ms,key,version,stale
read,8.81,key_19,50,false
read,8.65,key_3,44,false
read,8.69,key_12,38,false
read,8.87,key_4,49,false
read,8.83,key_19,50,false
read,9.65,key_1,39,false
read,9.77,key_13,38,false
read,2.17,key_5,41,false
read,2.37,key_5,41,false
read,2.44,key_19,50,false
read,1.44,key_12,38,false
read,11.17,key_9,47,false
read,2.48,key_17,34,false
read,11.12,key_7,48,false
read,0.88,key_18,55,false
read,0.92,key_17,34,false
read,1.05,key_11,51,false
read,2.40,key_7,48,false
read,3.34,key_11,51,false
read,0.92,key_1,39,false
read,0.95,key_1,39,false
read,0.92,key_15,55,false
read,0.68,key_18,55,false
read,0.77,key_15,55,false
read,0.68,key_7,48,false
read,0.72,key_15,55,false
read,0.75,key_19,50,false
read,0.79,key_1,39,false
read,0.81,key_4,49,false
read,1.28,key_16,50,false
read,0.63,key_15,56,false
read,0.71,key_16,50,false
read,1.09,key_16,50,false
read,0.57,key_7,48,false
read,1.10,key_2,40,false
read,1.16,key_2,40,false
read,1.74,key_7,48,false
read,1.80,key_4,49,false
read,2.08,key_12,38,false
read,0.44,key_1,39,false
read,0.44,key_11,51,false
read,1.45,key_10,44,false
read,0.79,key_14,58,false
read,0.81,key_4,49,false
read,0.54,key_9,47,false
read,0.92,key_11,51,false
read,0.60,key_3,44,false
read,0.98,key_0,41,false
read,0.70,key_13,38,false
read,0.80,key_19,50,false
read,1.14,key_2,40,false
read,0.96,key_10,44,false
read,0.82,key_19,50,false
read,0.65,key_2,40,false
read,0.62,key_13,39,false
read,0.85,key_13,38,false
read,2.05,key_9,47,false
read,0.71,key_2,40,false
read,1.37,key_12,38,false
read,1.26,key_14,58,false
read,0.58,key_2,40,false
read,0.55,key_10,44,false
read,0.61,key_4,49,false
read,0.63,key_6,42,false
read,1.14,key_9,47,false
read,0.65,key_8,36,false
read,0.58,key_17,34,false
read,0.60,key_10,44,false
read,1.24,key_6,42,false
read,0.64,key_9,47,false
read,0.57,key_6,42,false
read,0.75,key_4,49,false
read,0.52,key_19,50,false
read,0.52,key_14,58,false
read,0.59,key_2,40,false
read,0.60,key_16,51,false
read,0.48,key_9,47,false
read,0.56,key_15,56,false
read,0.56,key_4,49,false
read,1.07,key_3,44,false
read,0.93,key_6,42,false
read,0.40,key_15,55,false
read,0.41,key_0,41,false
read,0.44,key_16,50,false
read,0.45,key_17,34,false
read,0.42,key_16,51,false
read,0.43,key_19,50,false
read,0.28,key_1,39,false
read,1.61,key_8,36,false
